GENESIS-Tabelle: 12411-0018
Population: Administrative districts, reference date, sex,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
age groups;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Current updating of population figures;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Population (number);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female
;;;under 3 years;3 to under 6 years;6 to under 10 years;10 to under 15 years;15 to under 18 years;18 to under 20 years;20 to under 25 years;25 to under 30 years;30 to under 35 years;35 to under 40 years;40 to under 45 years;45 to under 50 years;50 to under 55 years;55 to under 60 years;60 to under 65 years;65 to under 75 years;75 years and over;under 3 years;3 to under 6 years;6 to under 10 years;10 to under 15 years;15 to under 18 years;18 to under 20 years;20 to under 25 years;25 to under 30 years;30 to under 35 years;35 to under 40 years;40 to under 45 years;45 to under 50 years;50 to under 55 years;55 to under 60 years;60 to under 65 years;65 to under 75 years;75 years and over
2021-12-31;03351;Celle, Landkreis;2634;2737;3506;4416;2705;1883;4723;4697;5543;5357;5308;4932;6736;7588;6479;10191;8975;2473;2555;3428;4122;2629;1777;4085;4488;5227;5311;5221;5224;6756;7534;6797;11125;12753
2021-12-31;03352;Cuxhaven, Landkreis;2647;2941;3704;4725;2885;1941;4789;4889;5392;5436;5263;5529;7860;8593;7389;12603;10965;2565;2682;3394;4414;2623;1921;4241;4436;5336;5325;5503;5817;8260;9007;8121;13543;14864
2021-12-31;03353;Harburg, Landkreis;3850;4083;5232;6311;3807;2609;6820;6628;7250;7556;7860;7692;10498;11466;9135;13057;12991;3575;3801;4845;6054;3546;2496;5476;5652;6872;7710;8422;8022;10937;11838;9416;14609;17432
2021-12-31;03354;Lüchow-Dannenberg, Landkreis;552;613;873;1069;715;476;1090;1087;1168;1279;1297;1247;1854;2108;2009;3312;2952;532;609;793;965;672;460;897;925;1118;1205;1357;1286;1919;2229;2211;3582;4011
2021-12-31;03355;Lüneburg, Landkreis;2632;2804;3647;4413;2761;1896;5532;5537;5895;5557;5637;5485;7313;7743;6304;9216;7920;2436;2566;3522;4227;2598;1959;5758;5117;5498;5716;5991;5743;7585;8138;6547;10174;11262
2021-12-31;03356;Osterholz, Landkreis;1661;1772;2271;2765;1649;1158;2842;2525;3087;3224;3333;3270;4821;5156;4384;6495;5904;1532;1713;2151;2525;1543;1079;2339;2431;3075;3412;3484;3468;4871;5341;4515;7168;8090
2021-12-31;03357;Rotenburg (Wümme), Landkreis;2361;2409;3046;3950;2678;1858;5045;4718;5255;4846;4726;4868;6664;7461;6123;9184;7560;2212;2321;2839;3794;2344;1689;4227;4114;4643;4698;4628;4879;6801;7167;6302;9593;9998
2021-12-31;03358;Heidekreis;2089;2107;2831;3479;2188;1671;4403;4337;4771;4203;3969;4025;5603;6007;5285;7750;6825;1996;1972;2562;3116;2024;1402;3481;3521;4125;4022;4094;3914;5628;6181;5445;8189;9697
2021-12-31;03359;Stade, Landkreis;3233;3357;4148;5328;3117;2155;5762;5975;6523;6401;6240;6271;8053;8556;7288;10796;9523;2982;3077;3858;4750;3010;2063;5098;5268;6115;6250;6253;6194;7979;8529;7438;11922;12984
2021-12-31;03360;Uelzen, Landkreis;1145;1160;1537;1991;1405;870;2354;2463;2609;2437;2436;2665;3698;4122;3760;5589;5133;1178;1128;1488;1954;1253;869;2174;2178;2450;2283;2531;2819;3744;4261;3809;6051;7350
2021-12-31;03361;Verden, Landkreis;2128;2210;2846;3326;2027;1415;3713;3812;4058;4083;3862;3938;5412;5844;4945;7725;6704;1962;2130;2763;3238;1972;1330;3307;3376;3900;4167;4040;4033;5560;6067;5216;8381;9017
2021-12-31;03401;Delmenhorst, kreisfreie Stadt;1266;1293;1562;1919;1204;895;2244;2339;2552;2339;2169;2310;2766;3151;2635;3895;3724;1156;1303;1477;1727;1054;724;2016;2187;2358;2283;2280;2318;2887;3079;2734;4557;5119
2021-12-31;03402;Emden, kreisfreie Stadt;698;751;992;1153;747;482;1691;1852;1697;1488;1423;1405;1915;1947;1665;2581;2185;625;685;870;1060;691;500;1609;1518;1613;1420;1415;1396;1906;1888;1671;2836;3148
2021-12-31;03403;Oldenburg (Oldenburg), kreisfreie Stadt;2371;2267;2972;3525;2252;1651;6297;7392;6832;5267;4736;4529;5960;6039;5197;7678;6750;2273;2241;2820;3459;2149;1729;6823;7192;6608;5576;4995;4972;6290;6817;5730;9017;9983
