GENESIS-Tabelle: 12411-0018
Population: Administrative districts, reference date, sex,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
age groups;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Current updating of population figures;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Population (number);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female
;;;under 3 years;3 to under 6 years;6 to under 10 years;10 to under 15 years;15 to under 18 years;18 to under 20 years;20 to under 25 years;25 to under 30 years;30 to under 35 years;35 to under 40 years;40 to under 45 years;45 to under 50 years;50 to under 55 years;55 to under 60 years;60 to under 65 years;65 to under 75 years;75 years and over;under 3 years;3 to under 6 years;6 to under 10 years;10 to under 15 years;15 to under 18 years;18 to under 20 years;20 to under 25 years;25 to under 30 years;30 to under 35 years;35 to under 40 years;40 to under 45 years;45 to under 50 years;50 to under 55 years;55 to under 60 years;60 to under 65 years;65 to under 75 years;75 years and over
2021-12-31;08128;Main-Tauber-Kreis;1951;1974;2446;2998;1920;1410;3665;3922;4309;4099;3925;3841;5022;5702;5195;7855;6169;1775;1821;2223;2892;1849;1247;3177;3346;3726;3807;3856;3888;4966;5639;5272;8373;8696
2021-12-31;08135;Heidenheim, Landkreis;1941;1961;2593;3215;1989;1438;3955;4078;4389;4369;4180;3943;4933;5454;4756;6914;6165;1881;1901;2505;3099;1935;1254;3216;3501;3949;3981;3947;3940;4852;5249;4933;7453;9089
2021-12-31;08136;Ostalbkreis;4776;4716;5991;7558;4738;3410;9506;10068;10459;10012;9470;9662;12052;12946;11535;16216;13703;4520;4565;5683;7149;4564;3297;8739;8809;9553;9397;9295;9505;11736;12675;11515;17676;19513
2021-12-31;08211;Baden-Baden, kreisfreie Stadt;743;746;937;1193;741;488;1379;1657;1604;1575;1631;1546;2055;2228;1968;3037;3187;707;712;841;1030;692;439;1244;1436;1551;1675;1675;1683;2202;2388;2175;3686;4676
2021-12-31;08212;Karlsruhe, kreisfreie Stadt;4132;3866;4962;6154;3643;3549;14484;15727;13929;11365;9766;9042;10684;11318;8965;12849;12372;3750;3863;4594;5661;3482;2640;10428;12161;11592;10078;9212;8748;10288;10648;9365;14933;18252
2021-12-31;08215;Karlsruhe, Landkreis;6541;6581;8781;10535;6615;4433;12343;13266;14724;14664;14027;13693;17729;19218;16488;23719;19927;6312;6370;8313;9749;6005;3904;10271;11562;13485;13688;13862;13910;17497;19222;16744;26281;28028
2021-12-31;08216;Rastatt, Landkreis;3303;3395;4405;5391;3339;2301;6300;6658;7373;7352;7089;6879;9002;10307;8988;12823;10503;3189;3192;4023;5091;3121;2142;5354;6038;6811;7038;7156;6947;9019;9890;9015;13861;15001
2021-12-31;08221;Heidelberg, kreisfreie Stadt;2272;2223;2595;3110;1743;1893;7377;7517;7212;6300;4794;4017;4853;4768;3991;5964;5687;2223;2127;2400;3033;1746;2280;9365;7941;7010;6132;4894;4183;4609;5061;4316;7092;8517
2021-12-31;08222;Mannheim, kreisfreie Stadt;4623;4579;5564;6511;3950;3317;11893;13722;13941;11768;10044;9370;11125;11457;9142;12758;11797;4447;4357;5037;6107;3673;3111;11823;12707;12225;10368;9717;9116;10535;10847;9487;15195;17518
2021-12-31;08225;Neckar-Odenwald-Kreis;2083;2159;2538;3287;2186;1582;4211;4303;4615;4412;4119;4194;5631;6373;5779;8358;6400;1948;1996;2590;3087;2080;1374;3254;3561;3968;4074;4147;4276;5528;6286;5830;8744;8956
2021-12-31;08226;Rhein-Neckar-Kreis;7994;8493;10790;13090;8024;5321;14559;15561;17524;16884;16731;15874;21626;23374;19744;28469;25695;7621;7850;10191;12209;7420;4912;12943;14494;16403;17132;17443;16735;21750;23547;20628;32413;35586
2021-12-31;08231;Pforzheim, kreisfreie Stadt;2185;2032;2583;3061;1932;1363;4032;4580;4863;4288;3961;3590;4368;4467;3953;5507;5090;2062;2078;2456;2903;1834;1233;3734;4200;4253;3821;3822;3657;4288;4434;4080;6716;8103
2021-12-31;08235;Calw, Landkreis;2468;2529;3224;3879;2417;1782;4691;4705;5263;5025;4957;4930;6086;7046;6123;8463;7099;2374;2313;2908;3655;2226;1558;3918;4035;4789;4702;4738;4823;5971;6812;6224;9094;9859
2021-12-31;08236;Enzkreis;3070;3178;3877;4856;2923;2130;5614;5556;6243;6216;6078;5792;7818;8768;7556;10247;9289;3028;3065;3702;4501;2788;1854;4796;4954;5918;6177;5976;5815;7978;8652;7615;11327;12880
2021-12-31;08237;Freudenstadt, Landkreis;1790;1750;2225;2859;1906;1288;3570;3714;3837;3581;3541;3637;4632;5190;4568;6403;5048;1674;1701;2146;2747;1737;1147;3005;3193;3418;3490;3424;3565;4556;5212;4588;6644;7397
2021-12-31;08311;Freiburg im Breisgau, kreisfreie Stadt;3614;3357;4169;4894;2830;2344;8965;10603;10307;8521;6964;6069;7137;7573;6285;9048;7980;3391;3212;3863;4721;2936;2816;11919;11482;10227;8410;7024;6442;7365;7687;6868;10551;12274
2021-12-31;08315;Breisgau-Hochschwarzwald, Landkreis;4107;4171;5233;6492;3992;2773;7195;7744;8175;7999;7750;7532;9905;11068;9554;14390;12964;3866;3932;4945;6112;3727;2476;6132;7042;7740;7948;8011;7890;10266;11344;10026;15925;17366
2021-12-31;08316;Emmendingen, Landkreis;2594;2627;3348;3984;2662;1727;4524;4843;5267;5291;4991;4923;6503;7153;6201;9093;7415;2516;2536;3149;3765;2344;1486;3932;4235;5012;5221;5097;5071;6457;7206;6486;9774;10512
2021-12-31;08317;Ortenaukreis;6604;6749;8619;10392;6458;4488;12538;13421;14531;13684;12956;12703;16752;18606;16139;23429;18820;6351;6427;8154;9929;6263;4115;10626;11825;13251;12950;12718;12694;16462;17955;16328;24835;26763
2021-12-31;08325;Rottweil, Landkreis;2351;2225;2815;3483;2119;1437;4016;4303;4590;4212;4168;4183;5469;6129;5230;7274;6357;2080;2120;2602;3234;2080;1366;3317;3817;4216;4170;3925;4121;5273;5897;5173;7802;8892
2021-12-31;08326;Schwarzwald-Baar-Kreis;3231;3235;4084;5021;3033;2112;6198;6610;7389;6795;6369;6022;7627;8622;7802;11248;10281;3269;3150;3850;4876;2995;1965;5331;5860;6705;6260;6237;5985;7700;8508;7952;12473;14590
2021-12-31;08327;Tuttlingen, Landkreis;2440;2311;2959;3657;2349;1554;4437;4656;4989;4798;4463;4461;5240;5704;4924;6908;5882;2265;2326;2858;3520;2174;1395;3562;4015;4605;4322;4388;4170;5063;5360;5035;7408;8216
2021-12-31;08335;Konstanz, Landkreis;4218;4295;5387;6529;3946;3120;10110;9761;9460;8643;7941;7779;10272;11459;9842;13965;13239;3967;4079;5126;6384;3821;3150;10035;9206;8781;8859;8373;8329;10892;12028;10205;15953;18943
2021-12-31;08336;Lörrach, Landkreis;3322;3653;4623;5823;3583;2300;5997;6736;7375;7334;6792;6655;8706;9677;8548;11439;10068;3170;3507;4422;5506;3315;2034;5420;6147;7193;7260;7152;7014;9100;9938;8831;12586;14219
2021-12-31;08337;Waldshut, Landkreis;2283;2701;3564;4342;2689;1889;4626;5046;5426;5282;5095;4873;6360;7287;6389;9350;7740;2165;2566;3342;4156;2541;1587;4062;4412;5275;5289;5196;4996;6288;7160;6512;10157;10603
2021-12-31;08415;Reutlingen, Landkreis;4507;4616;5678;6949;4260;3096;8457;8890;9417;9277;8640;8712;11035;12019;10189;14261;12897;4235;4354;5291;6545;4171;2771;7584;7726;8977;8777;8712;8831;10997;11944;10358;15776;18209
2021-12-31;08416;Tübingen, Landkreis;3557;3644;4306;5138;3191;2559;8668;9185;8571;7626;6679;6149;7693;8527;7529;10396;8461;3306;3396;4201;4984;3090;2846;10515;9189;8336;7423;6567;6390;7840;8811;7764;11399;11870
2021-12-31;08417;Zollernalbkreis;2773;2813;3494;4408;2739;1942;5364;5819;6249;5937;5551;5655;7229;8260;7354;10225;8671;2694;2728;3327;4206;2650;1760;4576;5029;5643;5619;5407;5635;7221;8139;7386;11235;12807
2021-12-31;08421;Ulm, kreisfreie Stadt;1881;1824;2332;2861;1684;1326;4790;5908;5639;4514;4051;3851;4366;4320;3414;5133;5049;1819;1658;2178;2738;1621;1350;4939;5148;4876;4154;4023;3785;4145;4102;3822;6299;7349
2021-12-31;08425;Alb-Donau-Kreis;3338;3278;4075;5000;3196;2260;5986;6198;6758;6588;6300;6207;7716;8470;7114;10053;8188;3137;3127;3883;4810;2962;2032;5119;5416;6232;5999;6144;5982;7338;8141;7073;10330;11282
2021-12-31;08426;Biberach, Landkreis;3368;3480;4230;5212;3250;2190;5914;6250;7243;6833;6372;6439;7867;8278;7280;10209;7970;3285;3260;4132;4979;2945;1982;5079;5563;6612;6528;6119;6147;7558;8041;7268;10457;10904
2021-12-31;08435;Bodenseekreis;3205;3241;3983;5130;3201;2260;5988;6406;6952;6677;6572;6348;8277;8912;7723;11355;11511;3051;3107;3864;4862;2999;2118;5221;5887;6703;6553;6571;6431;8394;9071;8136;13051;15125
2021-12-31;08436;Ravensburg, Landkreis;4582;4568;5535;6971;4423;3070;9041;9469;10024;8871;8684;8654;10972;11595;9913;14162;12493;4341;4253;5372;6631;4091;2875;8104;8338;9059;8726;8526;8524;11040;11543;10304;15490;16767
2021-12-31;08437;Sigmaringen, Landkreis;1988;1965;2609;3206;2029;1460;4135;4267;4433;3988;3775;3874;4947;5869;5043;6979;5603;1907;1920;2399;2965;1906;1318;3430;3490;3834;3845;3696;3730;5018;5698;5030;7370;7999
2021-12-31;09161;Ingolstadt, kreisfreie Stadt;2412;2246;2747;3117;1866;1404;4592;5319;6183;5625;4826;4302;4954;4822;4209;5746;5488;2236;2148;2563;2934;1747;1248;3496;4634;5395;4831;4599;4228;4636;4676;4252;6733;7802
2021-12-31;09162;München, kreisfreie Stadt;25082;22367;27194;30570;17614;13044;47850;65410;71303;59102;50755;46177;52207;49390;37099;53094;57336;24063;21730;25978;29293;16709;12677;46173;67722;70595;58534;52709;47559;50852;49557;39814;65988;82161
2021-12-31;09163;Rosenheim, kreisfreie Stadt;1006;978;1154;1397;880;628;2018;2465;2594;2297;2059;1978;2321;2392;1861;2713;2697;965;885;1093;1372;826;585;1904;2314;2239;1976;2002;1983;2194;2388;1900;3412;4032
2021-12-31;09171;Altötting, Landkreis;1797;1748;2093;2651;1634;1175;3059;3375;3535;3607;3394;3358;4365;4672;4183;5826;4957;1597;1696;2122;2457;1554;1046;2820;2958;3229;3418;3321;3282;4170;4656;4192;6682;7487
2021-12-31;09172;Berchtesgadener Land, Landkreis;1452;1549;1944;2242;1486;982;3110;3401;3701;3519;3194;2979;3997;4211;3607;5417;5634;1334;1461;1765;2173;1310;912;2694;3036;3328;3322;3171;3023;3992;4382;3768;6338;7955
2021-12-31;09173;Bad Tölz-Wolfratshausen, Landkreis;1957;2053;2544;3043;1873;1257;3466;3685;4018;3933;3958;3804;5045;5480;4516;6178;6302;1831;1912;2359;2850;1734;1214;3083;3201;3824;3967;4056;3945;5226;5472;4550;7029;8554
2021-12-31;09174;Dachau, Landkreis;2480;2551;3219;3792;2241;1521;4499;4701;5331;5345;5500;5102;6229;6502;5187;6922;6423;2431;2420;2916;3667;2199;1465;3773;4277;5034;5225;5510;5064;6177;6263;5163;7686;8634
2021-12-31;09175;Ebersberg, Landkreis;2344;2329;3156;3906;2346;1496;4295;4078;4425;4677;4989;4853;6139;6052;4764;5950;6380;2135;2263;3038;3547;2128;1377;3607;3592;4201;4840;5090;4857;6028;5835;4693;6666;8486
2021-12-31;09176;Eichstätt, Landkreis;2333;2324;2938;3433;2060;1435;3961;4055;4556;4678;4675;4355;5151;5463;4763;6406;5013;2275;2315;2784;3195;1900;1298;3598;3580;4243;4568;4346;3953;4896;5181;4712;6515;6676
2021-12-31;09177;Erding, Landkreis;2265;2275;2893;3452;2147;1453;4160;4291;4579;4573;4876;4807;6092;6184;4881;6304;4991;2084;2128;2637;3283;2020;1394;3812;4042;4325;4647;4712;4575;5734;6031;4633;6620;6722
2021-12-31;09178;Freising, Landkreis;2972;2860;3651;4423;2668;1938;6237;6826;7023;6712;6389;6288;7359;7679;5946;7198;6351;2737;2693;3427;4034;2467;1748;5444;5872;6323;6052;6146;5700;7016;7120;5660;7871;8314
2021-12-31;09179;Fürstenfeldbruck, Landkreis;3303;3440;4463;5418;3260;2135;6041;6016;6724;6826;7279;6941;8814;8797;6915;9789;11169;3118;3294;4278;5170;3035;2097;5172;5556;6527;6751;7444;7047;8488;8921;7268;11783;15300
2021-12-31;09180;Garmisch-Partenkirchen, Landkreis;1249;1275;1519;1823;1150;808;2378;2701;2696;2452;2401;2386;3352;3818;3038;4633;5054;1137;1158;1430;1726;1048;734;2102;2395;2586;2506;2575;2601;3597;3932;3270;5452;7250
2021-12-31;09181;Landsberg am Lech, Landkreis;1784;1870;2448;3032;1829;1227;3423;3556;3723;3825;3835;3620;5081;5386;4481;6009;5443;1697;1835;2339;2893;1783;1177;2888;2886;3390;3631;3766;3849;5045;5569;4464;6550;7132
2021-12-31;09182;Miesbach, Landkreis;1443;1491;1895;2349;1427;940;2650;2751;2973;2948;2977;3013;4157;4241;3564;4803;5270;1365;1396;1751;2251;1318;913;2220;2541;2916;3014;3164;3208;4170;4494;3602;5542;7221
2021-12-31;09183;Mühldorf am Inn, Landkreis;1813;1868;2379;2763;1762;1199;3468;3776;4191;3884;3879;3748;4752;4984;4276;6002;4740;1753;1734;2159;2638;1557;1084;3038;3304;3587;3525;3578;3567;4445;4730;4257;6497;6669
2021-12-31;09184;München, Landkreis;5046;5385;7420;9385;5528;3694;10916;10386;10869;11028;11747;11568;14269;13844;10378;14275;17872;4927;5212;7127;8824;5181;3304;8753;8719;10149;11146;12307;11797;14040;13601;10608;16908;23624
2021-12-31;09185;Neuburg-Schrobenhausen, Landkreis;1592;1599;2025;2419;1444;1060;2878;2926;3321;3327;3378;3144;3864;4117;3630;4889;3928;1509;1555;1994;2295;1362;951;2447;2705;2939;3198;3168;2969;3649;3934;3654;5193;5440
2021-12-31;09186;Pfaffenhofen an der Ilm, Landkreis;2204;2170;2682;3107;1840;1253;3678;4002;4686;4768;4569;4182;5183;5527;4694;6097;5069;2052;2077;2566;2914;1762;1181;3136;3559;4182;4563;4249;3851;4821;5279;4595;6549;6725
2021-12-31;09187;Rosenheim, Landkreis;4063;4068;5128;6236;3965;2718;7396;7602;8237;8305;7743;7779;10488;11171;9448;13415;12542;3701;3800;4899;5784;3599;2447;6395;6812;7823;7834;7995;8061;10709;11501;9760;15055;16888
2021-12-31;09188;Starnberg, Landkreis;1844;1997;2857;3599;2205;1425;3629;3317;3353;3591;4052;4126;5617;5897;4523;6341;7811;1745;1956;2707;3442;2106;1388;3023;2899;3440;3849;4515;4716;5761;6218;4870;7602;10326
2021-12-31;09189;Traunstein, Landkreis;2688;2589;3201;4052;2445;1809;4855;5439;5715;5430;5260;5280;6667;7435;6634;9639;8923;2463;2500;3066;3872;2505;1588;4278;4843;5276;5221;5232;5315;6840;7704;6818;10635;12230
2021-12-31;09190;Weilheim-Schongau, Landkreis;2057;2159;2752;3316;1959;1389;3810;3929;4116;4234;3994;3895;5156;5887;4975;7125;6948;2023;2020;2641;3103;1943;1288;3236;3480;3944;4172;4103;3964;5516;5911;5132;7686;8779
2021-12-31;09261;Landshut, kreisfreie Stadt;1061;1000;1312;1640;921;658;2199;2732;2889;2544;2444;2324;2790;2692;2132;3226;3151;1065;1012;1237;1551;885;657;2072;2607;2641;2394;2407;2385;2716;2622;2414;4022;4748
2021-12-31;09262;Passau, kreisfreie Stadt;658;636;767;948;546;535;2251;2533;2406;1924;1452;1390;1667;1777;1605;2466;2308;680;613;797;907;558;615;2507;2219;2040;1622;1464;1307;1654;1765;1786;3062;3628
2021-12-31;09263;Straubing, kreisfreie Stadt;646;617;784;995;634;432;1476;1783;1958;1700;1687;1471;1814;1871;1754;2440;2022;613;594;685;925;583;439;1338;1578;1510;1446;1433;1390;1711;1810;1751;2887;3077
2021-12-31;09271;Deggendorf, Landkreis;1704;1675;2157;2584;1679;1321;4076;4337;4037;3867;3759;3703;4578;5055;4586;6617;4809;1575;1527;2052;2488;1650;1126;3325;3458;3591;3499;3639;3647;4595;5035;4738;7053;6979
2021-12-31;09272;Freyung-Grafenau, Landkreis;1031;1012;1371;1614;1062;832;2286;2300;2368;2293;2282;2390;3103;3461;3439;5107;3239;995;1090;1244;1503;1000;740;1973;2109;2142;2237;2132;2416;3055;3589;3451;5023;4743
2021-12-31;09273;Kelheim, Landkreis;1957;1990;2449;3111;1862;1308;3627;3898;4378;4243;4038;4044;4943;5342;4499;6198;4723;1931;1852;2361;2868;1765;1254;3179;3476;3809;3964;3894;3848;4710;4937;4356;6583;6502
2021-12-31;09274;Landshut, Landkreis;2606;2670;3328;4068;2421;1609;4632;4706;5366;5352;5445;5315;6745;7100;6057;8251;6261;2468;2503;3188;3861;2292;1538;4085;4166;4842;5126;5178;5192;6354;6900;5849;8585;8272
2021-12-31;09275;Passau, Landkreis;2646;2624;3538;4282;2769;1980;5396;5538;5995;5726;5968;6050;7789;8211;7684;11621;8625;2562;2480;3380;4085;2434;1750;4722;5086;5511;5579;5749;5896;7473;8318;7916;12410;12297
2021-12-31;09276;Regen, Landkreis;1087;1056;1379;1705;1041;781;2132;2278;2537;2292;2236;2326;2990;3296;3243;4905;3255;1005;1006;1253;1452;1039;661;1925;1993;2168;2171;2215;2293;2954;3372;3225;5085;4820
2021-12-31;09277;Rottal-Inn, Landkreis;1788;1819;2226;2808;1710;1211;3747;3884;3939;3814;3761;3821;4870;5137;4723;6705;5389;1600;1630;2117;2630;1653;1175;3204;3389;3523;3545;3590;3535;4616;5126;4851;7099;7617
2021-12-31;09278;Straubing-Bogen, Landkreis;1678;1638;1953;2330;1494;1134;2949;2840;3387;3298;3172;3280;4295;4484;3959;5611;3915;1563;1461;1884;2354;1456;907;2509;2533;3105;3141;3138;3205;4178;4284;3916;5753;5594
2021-12-31;09279;Dingolfing-Landau, Landkreis;1551;1489;1860;2234;1367;993;2886;3285;3747;3396;3272;3337;3966;4169;3808;5153;3706;1493;1436;1657;2115;1300;900;2420;2750;3095;3064;2953;2908;3682;3934;3712;5224;5183
2021-12-31;09361;Amberg, kreisfreie Stadt;558;568;640;940;560;395;1247;1446;1569;1448;1279;1136;1502;1735;1497;2285;1920;568;565;709;780;524;370;1108;1211;1258;1184;1136;1128;1529;1745;1601;2723;3130
2021-12-31;09362;Regensburg, kreisfreie Stadt;2206;2012;2483;2947;1842;1312;5992;7650;8040;6215;4765;4202;4956;4941;4112;5754;5355;2214;1852;2407;2870;1672;1473;6499;7450;7375;5501;4821;4381;4992;5182;4481;7057;8531
2021-12-31;09363;Weiden in der Oberpfalz, kreisfreie Stadt;578;582;699;841;545;397;1394;1505;1521;1254;1200;1155;1587;1684;1504;2144;1966;559;536;669;817;544;378;1265;1327;1323;1210;1278;1245;1599;1783;1570;2630;3183
2021-12-31;09371;Amberg-Sulzbach, Landkreis;1701;1525;1740;2301;1449;989;2920;2904;3262;3171;3054;3034;4120;4797;4437;5906;4485;1505;1438;1758;2169;1316;946;2519;2620;2993;2966;2949;2987;4025;4707;4245;5999;6340
2021-12-31;09372;Cham, Landkreis;1837;1813;2343;2771;1786;1158;3711;3961;4123;3995;3935;3979;5132;5588;5224;7785;5408;1807;1731;2172;2664;1677;1163;3158;3428;3768;3791;3697;3874;4896;5478;5148;7740;7703
2021-12-31;09373;Neumarkt in der Oberpfalz, Landkreis;2197;2132;2701;3167;1890;1357;4191;4228;4633;4432;4463;4311;5579;6004;5226;7212;5134;2112;1961;2506;3007;1828;1276;3452;3804;4055;4121;4142;4091;5276;5790;5090;7292;7402
2021-12-31;09374;Neustadt an der Waldnaab, Landkreis;1615;1407;1692;2073;1304;942;2657;2655;2902;2980;2809;2802;3715;4340;3936;5560;3846;1568;1412;1572;1976;1243;872;2321;2414;2823;2819;2750;2744;3899;4165;3825;5546;5654
2021-12-31;09375;Regensburg, Landkreis;2959;3086;3943;4783;2881;1993;5242;5358;6122;6336;6478;6264;8034;8480;7404;10535;7732;2852;2997;3757;4455;2648;1833;4566;4827;5709;6148;6415;6310;7666;8458;7380;11174;10400
2021-12-31;09376;Schwandorf, Landkreis;2230;2165;2734;3284;2094;1472;4351;4736;5099;4760;4791;4791;5877;6526;5851;8241;6022;2071;2131;2526;3129;1985;1383;3858;4077;4424;4495;4623;4487;5698;6319;5553;8595;8861
2021-12-31;09377;Tirschenreuth, Landkreis;990;980;1255;1477;934;675;1963;2104;2248;2128;2024;2200;2882;3214;3015;4373;3212;965;913;1237;1451;889;617;1714;1862;1942;1988;2035;2079;2824;3197;2926;4475;4860
2021-12-31;09461;Bamberg, kreisfreie Stadt;1159;1115;1308;1460;863;722;2732;3546;3764;2988;2217;1984;2633;2601;2295;3300;3015;1133;1033;1211;1427;844;691;2900;3625;3522;2600;2186;2150;2607;2793;2531;3894;4900
2021-12-31;09462;Bayreuth, kreisfreie Stadt;859;880;1037;1316;822;916;3836;3743;2828;2257;2085;1964;2354;2515;2229;3474;3192;855;836;1015;1291;772;881;3471;3111;2459;2067;1920;1990;2387;2621;2457;4404;5065
2021-12-31;09463;Coburg, kreisfreie Stadt;551;528;638;810;512;396;1380;1400;1569;1416;1112;973;1447;1602;1431;2090;2041;515;502;633;788;459;358;1264;1254;1376;1212;1145;1101;1533;1628;1645;2598;3048
2021-12-31;09464;Hof, kreisfreie Stadt;672;643;830;956;553;453;1425;1582;1547;1333;1205;1197;1621;1750;1573;2412;2095;592;621;826;918;561;385;1267;1316;1398;1256;1285;1253;1652;1793;1670;3022;3463
2021-12-31;09471;Bamberg, Landkreis;2244;2297;2863;3494;2079;1458;4134;4091;4735;4795;4693;4633;6030;6681;6109;8098;5550;2163;2316;2739;3225;2015;1401;3382;3551;4519;4725;4610;4567;5944;6577;5851;8204;7924
2021-12-31;09472;Bayreuth, Landkreis;1448;1469;1861;2370;1420;1023;2631;2582;3011;3040;3119;3148;4313;4720;4319;6217;4732;1384;1332;1764;2202;1410;942;2273;2353;2885;3019;3112;3217;4309;4581;4265;6387;6790
2021-12-31;09473;Coburg, Landkreis;1249;1238;1536;1865;1158;751;2195;2167;2687;2719;2598;2404;3521;3934;3543;5171;4045;1130;1187;1444;1708;1121;730;1828;1958;2446;2666;2488;2533;3516;3918;3562;5596;5932
2021-12-31;09474;Forchheim, Landkreis;1737;1781;2288;2607;1633;1131;3118;3207;3609;3598;3733;3416;4468;5410;4763;6467;4951;1678;1704;2225;2568;1563;1116;2772;2842;3445;3661;3646;3394;4629;5203;4783;6770;6837
2021-12-31;09475;Hof, Landkreis;1194;1157;1537;1904;1211;912;2345;2349;2617;2470;2508;2669;3867;4400;4009;5792;5076;1100;1136;1463;1837;1198;817;2081;2083;2452;2461;2487;2754;3967;4239;4034;6328;7453
2021-12-31;09476;Kronach, Landkreis;737;747;1016;1315;816;622;1732;1691;1899;1881;1934;1967;2802;3208;2890;4206;3213;677;727;976;1315;801;581;1452;1557;1631;1786;1875;2089;2764;3003;2904;4383;4894
2021-12-31;09477;Kulmbach, Landkreis;878;882;1094;1451;972;698;1980;1889;2043;2020;2028;2111;2912;3301;3002;4465;3385;837;850;1056;1425;878;635;1592;1721;1877;1857;1998;2266;2997;3190;3026;4854;5158
2021-12-31;09478;Lichtenfels, Landkreis;931;919;1146;1459;799;603;1771;1924;2026;1945;1981;2029;2616;3035;2729;3990;3046;806;869;1153;1399;834;559;1586;1744;1842;1891;2003;2017;2640;2985;2794;4116;4554
2021-12-31;09479;Wunsiedel im Fichtelgebirge, Landkreis;936;948;1180;1492;885;660;1852;1873;2019;1897;1929;1939;2858;3152;3078;4503;3754;816;909;1050;1357;883;602;1589;1737;1775;1878;1910;1977;2859;3267;3061;4996;5861
2021-12-31;09561;Ansbach, kreisfreie Stadt;731;615;741;884;588;384;1344;1387;1372;1281;1186;1129;1465;1595;1416;2061;1767;683;624;726;888;573;396;1230;1310;1332;1278;1275;1260;1515;1729;1595;2476;2826
2021-12-31;09562;Erlangen, kreisfreie Stadt;1659;1612;2005;2427;1459;1126;4641;6054;5405;4001;3564;2960;3784;3939;3246;4308;4330;1541;1529;1934;2263;1345;1149;4703;5171;4518;3798;3364;3044;3711;3928;3301;5059;6414
2021-12-31;09563;Fürth, kreisfreie Stadt;2077;1959;2404;2879;1672;1184;3779;4593;5040;4638;4349;4141;4829;5185;4166;5729;4600;1988;1954;2257;2495;1576;1110;3552;4169;4725;4533;4603;4230;5093;5283;4382;6744;7204
2021-12-31;09564;Nürnberg, kreisfreie Stadt;7798;7655;9383;11223;6693;4772;15481;19634;20982;18073;16495;15361;18320;18578;15204;22234;21660;7380;7230;8795;10503;6397;4466;15097;18667;19467;17428;17009;16055;18304;18121;16173;27016;32978
2021-12-31;09565;Schwabach, kreisfreie Stadt;620;658;798;1002;581;363;1211;1167;1243;1259;1328;1205;1692;1758;1418;1952;1952;569;599;788;907;550;365;998;1093;1222;1310;1287;1258;1676;1741;1459;2365;2752
2021-12-31;09571;Ansbach, Landkreis;2967;2864;3575;4433;2749;1998;5516;5672;6102;5960;5822;5711;7263;8073;7263;10137;7457;2755;2879;3326;4136;2564;1725;4791;4898;5653;5642;5614;5556;7177;7928;7053;10450;10570
2021-12-31;09572;Erlangen-Höchstadt, Landkreis;2170;2362;2936;3534;2020;1343;3612;3530;4108;4589;4673;4306;5377;5856;5122;7593;6083;2089;2184;2842;3280;1911;1246;3135;3262;4134;4640;4700;4283;5488;5768;5260;7997;7890
2021-12-31;09573;Fürth, Landkreis;1824;1901;2363;2743;1511;1084;2953;3067;3516;3654;3704;3542;4634;5083;4298;6514;5820;1705;1838;2247;2581;1480;1015;2615;2820;3536;3782;3898;3624;4829;5159;4600;7223;8269
2021-12-31;09574;Nürnberger Land, Landkreis;2594;2538;3317;4004;2400;1651;4350;4326;5046;5238;5361;5216;7014;7399;6420;9137;8380;2337;2529;3158;3551;2192;1497;3775;4071;5029;5400;5476;5147;7049;7442;6592;10314;11474
2021-12-31;09575;Neustadt an der Aisch-Bad Windsheim, Landkreis;1524;1554;1966;2390;1417;1079;2946;2890;3236;3207;3195;3026;3932;4521;4023;5875;4236;1453;1463;1842;2172;1373;930;2461;2555;2978;3115;3052;3001;4014;4421;3997;5925;6019
2021-12-31;09576;Roth, Landkreis;1886;2108;2481;2918;1718;1282;3417;3498;3868;3925;3994;3795;5205;5686;4970;6835;5654;1831;1913;2305;2794;1658;1186;3075;3086;3754;3943;3955;3844;5203;5722;4779;7331;7901
2021-12-31;09577;Weißenburg-Gunzenhausen, Landkreis;1444;1475;1738;2235;1445;996;2701;2672;3145;2854;2825;2863;3579;4246;3771;5473;4179;1389;1423;1724;2029;1306;963;2242;2451;2842;2788;2770;2726;3477;4083;3780;5765;6124
2021-12-31;09661;Aschaffenburg, kreisfreie Stadt;1078;1037;1218;1600;919;642;2107;2507;2750;2404;2241;2126;2552;2841;2422;3460;2918;1027;973;1168;1489;907;651;1937;2271;2612;2360;2190;2259;2552;2881;2540;4222;4520
2021-12-31;09662;Schweinfurt, kreisfreie Stadt;759;818;979;1200;740;600;1975;1898;1943;1801;1527;1403;1675;1982;1738;2760;2653;761;741;945;1131;699;507;1527;1602;1606;1564;1569;1477;1664;1921;1954;3320;4146
2021-12-31;09663;Würzburg, kreisfreie Stadt;1735;1469;1845;1952;1247;1023;5346;6797;6346;4681;3523;3034;3715;3980;3448;5283;5325;1719;1460;1766;1979;1202;1314;7380;6957;5271;3769;3312;3031;3687;4207;3914;6646;8570
